stn_1,stn_2,taxi,bus,underground
1,2,0,0,1
2,3,0,1,1
3,4,0,0,1
4,1,0,1,1
1,5,0,1,0
6,5,0,1,0
6,2,0,1,0
6,8,0,1,0
6,7,0,1,0
6,4,0,1,0
6,9,0,1,0
7,4,0,1,0
8,2,0,1,0
8,3,0,1,0
2,5,1,1,0
3,7,1,1,0
4,9,1,1,0
1,10,1,0,0
1,22,1,0,0
1,15,1,0,0
1,9,1,0,0
2,12,1,0,0
2,11,1,0,0
2,5,1,0,0
3,12,1,0,0
3,13,1,0,0
3,21,1,0,0
3,7,1,0,0
4,15,1,0,0
4,14,1,0,0
5,22,1,0,0
5,10,1,0,0
5,16,1,0,0
5,11,1,0,0
6,16,1,0,0
6,15,1,0,0
6,17,1,0,0
6,18,1,0,0
7,13,1,0,0
7,14,1,0,0
8,12,1,0,0
8,21,1,0,0
9,1,1,0,0
10,22,1,0,0
10,11,1,0,0
10,16,1,0,0
10,20,1,0,0
11,17,1,0,0
12,17,1,0,0
13,14,1,0,0
13,18,1,0,0
14,18,1,0,0
14,19,1,0,0
15,19,1,0,0
15,20,1,0,0
17,18,1,0,0
18,21,1,0,0
19,20,1,0,0
